sentence_id;words;labels
1;Aircraft;B-COMPONENT
1;is;O
1;in;O
1;Attitude;B-STATE
1;mode;I-STATE
1;so;O
1;that;O
1;it;O
1;will;O
1;not;O
1;hover;O
1;.;O
1;Please;O
1;fly;O
1;with;O
1;caution;O
1;.;O
2;Downlink;B-ISSUE
2;Lost;I-ISSUE
2;.;O
3;Large;B-ISSUE
3;Wind;I-ISSUE
3;Velocity;I-ISSUE
3;.;O
3;Fly;O
3;with;O
3;caution;O
3;.;O
4;Precision;B-FUNCTION
4;Landing;I-FUNCTION
5;Exited;B-ACTION
5;Visual;B-FUNCTION
5;Avoidance;I-FUNCTION
5;System;I-FUNCTION
5;.;O
6;GPS;B-ISSUE
6;Position;I-ISSUE
6;Mismatch;I-ISSUE
6;.;O
7;GPS;B-ISSUE
7;Position;I-ISSUE
7;Mismatch;I-ISSUE
7;.;O
8;Gimbal;B-PARAMETER
8;Yaw;I-PARAMETER
8;Limit;I-PARAMETER
8;Reached;O
9;Aircraft;B-COMPONENT
9;is;O
9;in;O
9;Attitude;B-STATE
9;mode;I-STATE
9;so;O
9;that;O
9;it;O
9;will;O
9;not;O
9;hover;O
9;.;O
9;Please;O
9;fly;O
9;with;O
9;caution;O
9;.;O
10;Home;B-PARAMETER
10;Point;I-PARAMETER
10;Recorded;O
10;.;O
10;RTH;B-PARAMETER
10;Altitude;I-PARAMETER
10;:;O
10;30m;O
10;.;O
11;GPS;B-ISSUE
11;Position;I-ISSUE
11;Mismatch;I-ISSUE
11;.;O
12;Data;B-COMPONENT
12;Recorder;I-COMPONENT
12;File;B-PARAMETER
12;Index;I-PARAMETER
12;is;O
12;46;O
12;.;O
13;Drag;O
13;a;O
13;box;O
13;around;O
13;or;O
13;tap;O
13;a;O
13;target;O
13;on;O
13;screen;B-COMPONENT
13;.;O
13;Then;O
13;tap;O
13;Go;O
13;.;O
14;Home;B-PARAMETER
14;Point;I-PARAMETER
14;Recorded;O
14;.;O
14;RTH;B-PARAMETER
14;Altitude;I-PARAMETER
14;:;O
14;30m;O
14;.;O
15;GPS;B-ISSUE
15;Position;I-ISSUE
15;Mismatch;I-ISSUE
15;.;O
16;To;O
16;take;O
16;off;O
16;in;O
16;non-P;B-STATE
16;mode;I-STATE
16;toggle;O
16;Flight;B-COMPONENT
16;Mode;I-COMPONENT
16;Switch;I-COMPONENT
16;to;O
16;another;O
16;mode;O
16;and;O
16;then;O
16;toggle;O
16;it;O
16;back;O
16;.;O
17;Obstacle;B-FUNCTION
17;Avoidance;I-FUNCTION
17;disabled;O
17;.;O
17;Landing;B-COMPONENT
17;gear;I-COMPONENT
17;lowered;O
17;.;O
17;Obstacle;B-FUNCTION
17;Avoidance;I-FUNCTION
17;has;O
17;been;O
17;disabled;O
17;.;O
18;Home;B-PARAMETER
18;Point;I-PARAMETER
18;recorded;O
18;.;O
18;Return-to-Home;B-PARAMETER
18;Altitude;I-PARAMETER
18;:;O
18;98FT;O
19;Max;B-PARAMETER
19;Flight;I-PARAMETER
19;Distance;I-PARAMETER
19;Reached;O
19;.;O
19;Adjust;O
19;in;O
19;Main;B-FUNCTION
19;Controller;I-FUNCTION
19;Settings;I-FUNCTION
19;if;O
19;necessary;O
19;.;O
20;Home;B-PARAMETER
20;Point;I-PARAMETER
20;Recorded;O
20;Return-to-Home;B-PARAMETER
20;Altitude;I-PARAMETER
20;:;O
20;98FT;O
21;GPS;B-ISSUE
21;Position;I-ISSUE
21;Mismatch;I-ISSUE
21;.;O
22;Strong;B-ISSUE
22;wireless;I-ISSUE
22;interference;I-ISSUE
22;.;O
22;Please;O
22;fly;O
22;with;O
22;caution;O
22;.;O
23;Maximum;B-PARAMETER
23;Flight;I-PARAMETER
23;Distance;I-PARAMETER
23;Reached;O
23;.;O
23;Adjust;O
23;distance;O
23;in;O
23;MC;B-FUNCTION
23;Settings;I-FUNCTION
23;if;O
23;required;O
23;.;O
24;Braking;B-ACTION
24;now;O
24;!;O
24;Return;O
24;sticks;B-COMPONENT
24;to;O
24;midpoints;O
24;first;O
24;.;O
25;GPS;B-ISSUE
25;Position;I-ISSUE
25;Mismatch;I-ISSUE
25;.;O
26;Taking;B-ACTION
26;Off;I-ACTION
26;.;O
27;Satellite;B-FUNCTION
27;positioning;I-FUNCTION
27;off;O
27;.;O
27;Fly;O
27;with;O
27;Caution;O
27;.;O
28;Home;I-PARAMETER
28;Point;B-PARAMETER
28;Updated;O
28;.;O
29;Attitude;B-PARAMETER
29;is;O
29;too;O
29;large;O
29;.;O
30;Strong;B-ISSUE
30;Interference;I-ISSUE
30;.;O
30;Fly;O
30;with;O
30;caution;O
30;.;O
31;GPS;B-ISSUE
31;Position;I-ISSUE
31;Mismatch;I-ISSUE
31;.;O
32;GPS;B-ISSUE
32;Position;I-ISSUE
32;Mismatch;I-ISSUE
32;.;O
33;Yaw;B-ISSUE
33;Error;I-ISSUE
33;.;O
34;GPS;B-ISSUE
34;Position;I-ISSUE
34;Mismatch;I-ISSUE
34;.;O
35;GPS;B-ISSUE
35;Position;I-ISSUE
35;Mismatch;I-ISSUE
35;.;O
36;Magnetic;B-ISSUE
36;Filed;I-ISSUE
36;Interference;I-ISSUE
36;.;O
36;Exit;O
36;P-GPS;B-STATE
36;Mode;I-STATE
36;.;O
36;Yaw;B-ISSUE
36;Error;I-ISSUE
36;.;O
37;Obstacle;B-FUNCTION
37;Avoidance;I-FUNCTION
37;Disabled;O
37;.;O
38;GPS;B-ISSUE
38;Position;I-ISSUE
38;Mismatch;I-ISSUE
38;.;O
39;Taking;B-ACTION
39;Off;I-ACTION
39;.;O
40;Yaw;B-ISSUE
40;Error;I-ISSUE
40;.;O
41;Tap;O
41;the;O
41;screen;B-COMPONENT
41;lightly;O
41;to;O
41;focus;O
41;.;O
42;GPS;B-ISSUE
42;Position;I-ISSUE
42;Mismatch;I-ISSUE
42;.;O
43;Home;B-PARAMETER
43;Point;I-PARAMETER
43;recorded;O
43;.;O
43;Return-to-Home;B-PARAMETER
43;Altitude;I-PARAMETER
43;:;O
43;98FT;O
43;.;O
44;GPS;B-ISSUE
44;Position;I-ISSUE
44;Mismatch;I-ISSUE
44;.;O
45;Data;B-COMPONENT
45;Recorder;I-COMPONENT
45;File;B-PARAMETER
45;Index;I-PARAMETER
45;is;O
45;4;O
45;.;O
46;GPS;B-ISSUE
46;Position;I-ISSUE
46;Mismatch;I-ISSUE
46;.;O
47;Ambient;B-PARAMETER
47;Light;I-PARAMETER
47;is;O
47;too;O
47;weak;O
47;.;O
48;Sensing;B-FUNCTION
48;system;I-FUNCTION
48;is;O
48;blocked;O
48;or;O
48;too;O
48;close;O
48;to;O
48;the;O
48;obstacle;O
48;.;O
49;Compass;B-ISSUE
49;Error;I-ISSUE
49;.;O
49;Exit;B-ACTION
49;P-GPS;B-STATE
49;Mode;I-STATE
50;Precision;B-FUNCTION
50;Landing;I-FUNCTION
50;.;O
50;Rectifying;B-ACTION
50;aircraft;B-COMPONENT
